ID,Rating,Date,Place Name,Text
230d8cd90d6caf230af3022b9c9c319a,1.0,2024-10-22T10:58:50.185Z,,"А меня Эрмитаж обокрал на 500 рублей.Был куплен электронный билет,я не успела по времени(ехала издалека,транспорт подвёл)Не пустили,деньги не вернули.Я не из СПб,,моя зарплата25000,для меня это деньги.Неужели нельзя пойти навстречу и поменять время?В Оружейной палате Кремля идут навстречу,а тут прям никак?"
f083aff1022bac111b72814f7478fe72,1.0,2024-10-22T09:40:59.351Z,,"Покупаешь обзорную экскурсию за 1500 руб. В процессе экскурсии потихоньку присоединяются хитрые единичные посетители, купившие входной билет за 500 руб.  В итоге из группы 15 человек к середине экскурсии уже 30 человек, к завершению - хвост из 45. Экскурсовод на это внимания не обращает. Громче не говорит, ""бесплатники"" оттесняют тебя все дальше. В итоге или не слышно, или надо поработать локтями, чтобы встать ближе к экскурсоводу. В других музеях это решается с помощью простой аудиоаппаратуры."
cb94ccd249296cd9207b52e2415bdd06,1.0,2024-10-21T12:01:02.500Z,,"Старьё, кругом затхлый запах, в жару ни кондиционеров ни проветривания нет народу куча, порядка нет всё сделали чтобы содрать деньги"
4489bdd60707d7763b2be3ec5230bd31,1.0,2024-10-17T18:09:25.453Z,,"О том как заплатить х2 за вход.   Взял билет, разделся, попытался войти, но тут на входе остановила пожилая барышня и попросила сдать рюкзак. Вроде он не был большим или что-то вроде этого стандартный, забегая вперед по Эрмитажу бродили люди и с рюкзаками побольше. Ну да ладно, пошел сдавать. Свободную ячейку пришлось искать достаточно долго. Довольный я вернулся к входу и тут та же женщина сказала «а у вас билет сгорел, вам надо было зайти 5 минут назад». Ни на кассе, ни на стойке информации не помогли. Скажу больше нахамили, мол чего возмущаетесь еще один купите да идите.   Этот пережиток ковида с входом по сеансам, служит только для того , что бы стрясти с вас денег. Поэтому обращайте внимание какое время у вас на билете и просите уточнить до какого времени необходимо войти внутрь"
ed23449dcee9469b5cd9b9df1570a9be,1.0,2024-10-07T05:56:29.351Z,,Нет скидки для пожылых людей.
58a42ec6030290fe5346ea3380ebee29,1.0,2024-10-05T13:31:32.903Z,,"Обслуживание на уровне деревни в 90-х. Персонал на информационной стойке наигрубейший, не считая насмешек, упрёков и замечаний посетителям музея. Прошу провести проверку и навести порядок в кадрах.тотзыв оставила на той же информационной стойке. Как только книгу отзывов положила на стол, персонал подбежал и начал читать и забавляться прочитанным. В отзыве было два предложения: 1. Пускать в кафе по билету раньше начала сеанса (для тех, кто приехал издалека, купил билет онлайн и пришел с ребенком в музей раньше) и 2. Научить сотрудников вежливо разговаривать с посетителями.  Решайте сами, есть ли здесь юмор.  Мне пришлось купить ещё раз билеты, чтобы зайти раньше в кафе. Прошу вернуть мне деньги за билеты, которые я приобрела онлайн."
71184aaa13f892131b2142897d696b22,1.0,2024-10-04T12:52:32.455Z,,"Давно не была в Эрмитаже, по старой памяти, знала, что всегда перед зданием была большая очередь, поэтому решили с дочерью купить билеты он~лайн.  Причем, по 500р, обычная цена на вход, билетов на сайте не было ( потом в автомате мы легко их приобрели), купили 2 билета по 1200, т.е. на сумму 2400. Сайт глючил, карта не срабабатывала, и я не обратила внимание, что дата была изменена и вместо 1 октября, мы приобрели билеьы на 2 октября. Это было неисправимрй ошибкой, т.к. на следующий день мы уже уезжали из Питера домой. По форме я составила заявление о возврате средств, но мне было отказано!!! Музей НЕ ВОЗВРАЩАЕТ БИЛЕТЫ МЕНЕЕ ЧЕМ ЗА 3 ДНЯ ДО ПОСЕЩЕНИЯ!.. эту информацию мне подтвердили и лично, когда мы все таки пришли в Эрмитаж.  Неприятно очень! Человеческий фактор никто не отменял, и ошибки возможны, т.е. музей внес в правило не возвращать деньги посетителям, если у них изменились обстоятельства, или мой случай~ я ошиблась датой и другие возможные ситуации.   Осадок остался."
7a1ca1c11db966e56f9bb552ed4d41a7,1.0,2024-10-02T11:24:04.134Z,,"Шикарный музей с крассивой историей, хочу отметить профессиональный подход сотрудников и организаторов, особенно экскурсовода Масловского Арсения прияиный умный человек, который готов все рассказать и ответить на вопросы. Ставлю одну звезду по причине того что после того как забрал вещи с камеры хранерия пропали 1300р обнаружить нехватку получилось только вечером. Понимаю сумма не большая, но извините я плачу деньги за посещение и оставляю свои вещи на хранения и это как-то возмутительно! Время посещения 24.09.2024 в период с 15:10-15:30 (начало экскурсии)"
1e2d847f1219b731d420118d70fee50c,1.0,2024-09-29T19:49:25.147Z,,"Ужасная организация деятельности государственного музея. Толпы людей бегают туда-обратно , те, кому удалось приобрести - с бумажными схемами, остальные с выпученными глазами носятся взад-перед через залы в поисках входа-выхода, и всего остального, от туалетов до того, что хотят посмотреть. Ни какой внятной информации, отсутствие указателей, отсутствие  табличек с пояснениями куда ведет какая дверь, отсутствие  номеров залов на входах и в самих залах, ощущение полнейшего хаоса! Ситуацию в некоторой части  спасают смотрители. В обязанности которых, видимо, возложили указывать путь посетителям. Потому что они вежливо и доступно объясняют КАЖДОМУ куда идти. Чего не скажешь о работниках  точек продаж сувениров, они просто мягко посылают всех... туда, куда надо посетителям (""ну, идите, смотрите"") Зато чуть не в каждом зале - киоск по продаже сувенирной продукции. Очень удивило, что далеко не все предметы имеют пояснительные таблички, экспонаты просто не подписаны. А часто та информация, которая представлена на табличках очень скудная  (и видимо с советского времени не обновляемая), совершенно не ориентирована на самостоятельного посетителя. Интернет в бОльшей части здания не работает и izi-тревел использовать в бОльшинстве случаев невозможно. Особенно хочу отметить работу ""кафе Эрмитаж"" -  это не просто пренебрежение к посетителю, это даже не уровень советской столовой, это запредельная наглость!  когда тебе за 350 рублей   (по меню позиция ""куриный бульон с гречневой лапшой) предлагают лапшу в стаканчике разогреть в микроволновке ""за углом налево""!!! Напротив открытых дверей кафе, в коридоре одновременно работает что-то типа ""лектория"", где довольно много народа в условиях несовместимых с возможностью концентрации внимания пытаются слушать лекции по истории ... Что касается экспозиции и того, что невозможно испортить ужасной организацией, то  билеты по цене достаточно доступные, коллекция Эрмитажа богатейшая, но это и так всем известно."
a262546911a0d96b7e438751fff8e4c7,1.0,2024-09-28T11:48:12.422Z,,Черный список. Такое ощущение как будто они  организуют очереди. Почему не сделать сразу несколько касс. Почему на такой музей она одна ????
98de138c82e98f4f9227e69b425108cb,1.0,2024-09-17T04:31:44.072Z,,"Не тратьте свое время, запускают огромное количество людей, муравейник какой-то, ничего не понятно, дышать вообще не чем там, очень душно, вентиляции ноль, зато работники которые ничего не знают, сидят себе под вентиляторами, попасть в туалет, это вообще тот еще квест.  Тупо гребут деньги."
d8f562fddae15f4dfe081abdcfe00171,1.0,2024-09-04T14:35:33.703Z,,"Отзыв будет не на счет содержимого, а на счет организации и сотрудников  Ходила сюда зимой, ожидание проходило на ул и не было помещения где можно погреться. Была какая то теплица, в которой можно было купить пакетированный чай, но главное было получить кипяток, тк внутри нихрена не теплее было. И несмотря на теплую одежду, к такому суровому ожиданию исключительно на ул нельзя подготовиться. Тот кипяток потом вылился на ботинки, чтобы хоть немного снять боль от мороза.   И сотрудники. В грубом обращении не разрешили пройти в надетом пуховике. Хотя помимо меня в надетой верхней одежде проходили другие люди, которые не были остановлены. Акцентирую внимание, что женщина не пустила именно в надетом пуховике. Стоило снять и я смогла пройти. Если кто знает или сотрудники ответят на вопрос А в чем смысл? Пуховик все равно прошел бы со мной. Также другие люди несли верхнюю одежду как и в руках, так и надетой на себя"
cbeb8be934f53a1ded2f8f1d721b8c8d,1.0,2024-08-31T09:04:09.009Z,,"Отвратительно. Придумали отдельный вход для посетителей по пушкинской карте, что очень неудобно, так как я пришла с мамой и нам нужно было пройти вместе. Сотрудники не могут нормально объяснить где он находится. Контролерша была со злым лицом игнорировала, хамила и орала ""Откуда вы такие взялись"". Нормально так разговаривать с клиентами? Ужасный сервис. На все вопросы отвечала идите к администратору, на этом все. Потратили час на беготню и разборки, все впечатление и настроение было испортили. Из-за вас не успели посмотреть экспозицию, так как у нас оставалось мало времени 🤡"
776d6cc45b23da73926734c18d5df7e4,1.0,2024-08-31T00:21:57.382Z,,"Занижаю оценку что бы руководство обратило внимание , что не только нужно деньги собирать , нужно следить за красотой , Пётр 1 если бы зашёл в вашу уборную то головы с плеч полетели бы , как можно так позорить такое великое место , посещаемость огромная , а туалеты в таком запущенном состоянии вонь и бумаги нет и всё грязное и старое , где весь мрамор и золото на туалеты не хватило , что с Вами , сделайте ремонт в туалете , туалет это лицо любого заведения ..."
